Title,Category,Rank,Time,Box Office
乌海,剧情,6.9,102,1400
入险师,剧情,8.6,131,5702
长津湖,剧情 历史 战争,9.2,176,561900
第一炉香,爱情,7.3,144,6339
梅艳芳,剧情 传记,9.2,137,966
不老奇事,爱情 剧情,8.6,136,3248
沙丘,科幻 冒险 动作,7.8,156,24100
扬名立万,悬疑 剧情,9.3,123,2514
我和我的父辈,剧情,9.5,158,147000
007：无暇赴死,冒险 动作,8.6,164,34700
越界,惊悚 恐怖 爱情,0,81,1112
天书奇谭4K纪念版,动画 奇幻,9,100,1716
门锁,悬疑 惊悚 犯罪,0,105,50000
铁道英雄,战争 剧情 动作,0,123,0
特种部队：蛇眼起源,动作 科幻 冒险,5.8,122,1111
五个扑水的少年,剧情 喜剧 青春,9.4,111,6268
丛林奇航,冒险 动作 喜剧,0,128,316
峰爆,剧情 灾难 动作,9.4,114,43800
不速来客,喜剧 悬疑 ,8.9,107,6691
兰心大剧院,剧情,7.5,127,2166
我的初恋十八岁,爱情 青春,0,101,27
猪迪克之蓝海奇缘,动画 ,0,86,342
皮皮鲁与鲁西西之罐头小人,奇幻 喜剧 儿童,9.2,94,5765
蜜熊的音乐奇旅,动画 冒险 音乐,0,96,383
拯救甜甜圈：时空大营救,喜剧 动画 冒险,9,84,3800
漫漫寻子路,剧情 ,0,119,13
信者,剧情,0,95,127
指引,爱情 科幻,0,96,8
八拍,剧情,0,90,0
1950他们正年轻,纪录片,9.6,98,1084
演员,纪录片,9,93,302
极盗行动,喜剧 犯罪,0,114,149
深宅迷案,惊悚 悬疑,0,90,573
医者仁心,剧情,0,115,1
铁马英歌,剧情,0,89,1
京剧搜孤救孤,舞台艺术 纪录片 戏曲,0,85,5
焦裕禄,剧情,0,101,0
探探猫人鱼公主,奇幻 冒险 喜剧,0,83,562
奔跑的笨蛋,喜剧,0,86,0
我的喜马拉雅,剧情 传记 历史,8.7,89,3
张思德,剧情,6.7,114,4000
最后的冰峰,纪录片,0,85,0
天上草原,剧情,8.4,110,0
平行世界,运动,0,90,0
蓝色星球,纪录片,0,94,0
极限挑战,运动,0,94,0
她们,运动,0,86,0
